date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,stringency_index,case_population_ratio,case_population_density_ratio
2020-03-01,94.0,33.0,0.0,0.0,2.71,11.11,1.3846742253381123e-06,0.3444510403154292
2020-03-02,134.0,40.0,0.0,0.0,2.71,11.11,1.9738972999500753e-06,0.49102595108795233
2020-03-03,189.0,55.0,0.0,0.0,2.71,11.11,2.784079027541524e-06,0.6925664534001715
2020-03-04,246.0,57.0,0.0,0.0,2.34,11.11,3.623721908863571e-06,0.901435701251017
2020-03-05,295.0,49.0,0.0,0.0,1.96,11.11,4.345520175263225e-06,1.0809899669473577
2020-03-06,374.0,79.0,1.0,1.0,2.19,11.11,5.509235747621852e-06,1.370475415723091
2020-03-07,429.0,55.0,2.0,1.0,1.71,11.11,6.3194174752133e-06,1.5720159180353102
2020-03-08,483.0,54.0,2.0,0.0,1.86,11.11,7.11486862593945e-06,1.7698920475782163
2020-03-09,630.0,147.0,3.0,1.0,3.24,11.11,9.280263425138413e-06,2.3085548446672384
2020-03-10,889.0,259.0,7.0,4.0,4.15,11.11,1.3095482833250872e-05,3.2576273919193257
2020-03-11,1301.0,412.0,7.0,0.0,4.34,11.11,1.916448050175409e-05,4.767348972876313
2020-03-12,1790.0,489.0,9.0,2.0,3.59,11.11,2.636773258888533e-05,6.559227257070408
2020-03-13,2270.0,480.0,10.0,1.0,2.69,12.96,3.343840948422889e-05,8.318126186340685
2020-03-14,2634.0,364.0,29.0,19.0,1.94,12.96,3.8800339463197746e-05,9.651957874370645
2020-03-15,3077.0,443.0,43.0,14.0,1.94,12.96,4.532598501452523e-05,11.275275011176339
2020-03-16,3692.0,615.0,66.0,23.0,2.2,16.67,5.438528978668416e-05,13.52886426430388
2020-03-17,4462.0,770.0,83.0,17.0,2.36,22.22,6.572783397296445e-05,16.35043129667495
2020-03-18,5468.0,1006.0,118.0,35.0,2.47,31.48,8.054679429945531e-05,20.036790302603904
2020-03-19,6534.0,1066.0,164.0,46.0,2.28,31.48,9.624958923786411e-05,23.943011674691647
2020-03-20,7792.0,1258.0,196.0,32.0,2.19,37.04,0.00011478065493441034,28.552792618487498
2020-03-21,9007.0,1215.0,254.0,58.0,1.97,47.22,0.0001326783058257487,33.00500553320288
2020-03-22,10395.0,1388.0,289.0,35.0,2.05,62.04,0.0001531243465147838,38.091154937009435
2020-03-23,12744.0,2349.0,365.0,76.0,2.53,78.24,0.00018772647157137132,46.698766572125855
2020-03-24,15126.0,2382.0,513.0,148.0,2.31,79.63,0.0002228147056645137,55.4273025086296
2020-03-25,17843.0,2717.0,704.0,191.0,2.2,79.63,0.00026283768300753126,65.38340332285324
2020-03-26,20970.0,3127.0,886.0,182.0,2.1,79.63,0.00030890019686532144,76.84189697249522
2020-03-27,24219.0,3249.0,1174.0,288.0,1.89,79.63,0.00035675984110067815,88.74744409999342
2020-03-28,27062.0,2843.0,1466.0,292.0,1.6,79.63,0.0003986388711287234,99.1652558831505
2020-03-29,29954.0,2892.0,1679.0,213.0,1.56,79.63,0.00044123969942316826,109.76262193200391
2020-03-30,34281.0,4327.0,2053.0,374.0,1.86,79.63,0.0005049789055193173,125.6183629048216
2020-03-31,38815.0,4534.0,2457.0,404.0,1.82,79.63,0.0005717673410265833,142.23262904088708
2020-04-01,43789.0,4974.0,3130.0,673.0,1.75,79.63,0.0006450372303545809,160.45921919545034
2020-04-02,48718.0,4929.0,3787.0,657.0,1.6,79.63,0.00071764424372364,178.5209125753945
2020-04-03,53699.0,4981.0,4524.0,737.0,1.45,79.63,0.0007910172470896947,196.77315333934294
